City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Labuhan,ID,79.11,-6.8844,112.2051,
2,Saldanha,ZA,68.02,-33.0117,17.9442,
7,Guerrero Negro,MX,67.53,27.9769,-114.0611,
9,Cherskiy,RU,69.48,68.75,161.3,
11,Vieste,IT,67.23,41.8825,16.175,
12,Vaini,TO,78.96,-21.2,-175.2,
15,Rikitea,PF,76.78,-23.1203,-134.9692,
16,Fonte Boa,BR,75.7,-2.4959,-66.2662,
21,Port Elizabeth,ZA,61.02,-33.918,25.5701,
22,Cape Town,ZA,68.41,-33.9258,18.4232,
24,Vao,NC,70.11,-22.6667,167.4833,
26,Port Alfred,ZA,63.39,-33.5906,26.891,
27,Avarua,CK,77.05,-21.2078,-159.775,
29,Kavaratti,IN,81.93,10.5669,72.642,
30,Puerto Ayora,EC,73.54,-0.7393,-90.3518,
31,Bunia,CD,62.33,1.5667,30.25,
37,Albany,US,84.07,42.6001,-73.9662,
38,Tadine,NC,72.86,-21.55,167.8833,
39,Kapaa,US,82.38,22.0752,-159.319,
44,Los Llanos De Aridane,ES,64.15,28.6585,-17.9182,
45,Butaritari,KI,82.83,3.0707,172.7902,
46,San Quintin,MX,65.25,30.4833,-115.95,
47,Baft,IR,73.69,29.234,56.6057,
49,Mahebourg,MU,72.25,-20.4081,57.7,
50,Jamestown,US,81.72,42.097,-79.2353,
51,Mashhad,IR,71.74,36.297,59.6062,
53,Atuona,PF,80.46,-9.8,-139.0333,
54,Oriximina,BR,81.82,-1.7656,-55.8661,
55,Gat,IL,68.68,31.61,34.7642,
56,Goderich,CA,66.99,43.7501,-81.7165,
57,Naze,JP,69.3,28.3667,129.4833,
58,Trincomalee,LK,80.91,8.5711,81.2335,
59,Yazman,PK,94.66,29.1212,71.7446,
60,Adrar,MR,93.47,20.5022,-10.0711,
62,Hermanus,ZA,67.89,-34.4187,19.2345,
63,East London,ZA,62.35,-33.0153,27.9116,
64,Ialibu,PG,65.16,-6.2821,143.9935,
65,Olinda,BR,76.73,-8.0089,-34.8553,
68,Sao Joao Da Barra,BR,74.32,-21.6403,-41.0511,
70,Tukrah,LY,70.16,32.5341,20.5791,
71,Cabedelo,BR,75.87,-6.9811,-34.8339,
72,Honiara,SB,86.2,-9.4333,159.95,
73,Winona,US,85.8,43.9666,-91.7668,
74,Portland,US,65.39,45.5234,-122.6762,
78,Falakata,IN,75.85,26.5208,89.2055,
79,Turayf,SA,70.9,31.6725,38.6637,
80,Salalah,OM,84.29,17.0151,54.0924,
84,Quijingue,BR,67.86,-10.7525,-39.2092,
85,Sire,NG,83.23,12.9299,5.2043,
86,San Cristobal,VE,73.58,7.7669,-72.225,
87,Ocos,GT,85.32,14.5094,-92.1933,
88,Samarai,PG,78.31,-10.6167,150.6667,
89,Tabou,CI,78.6,4.423,-7.3528,
91,Clyde,US,85.71,41.3042,-82.9752,
92,Georgetown,MY,80.89,5.4112,100.3354,
93,Iquique,CL,60.84,-20.2208,-70.1431,
95,Camacha,PT,63.36,33.0833,-16.3333,
96,Hasaki,JP,72.0,35.7333,140.8333,
98,Saint-Philippe,RE,72.99,-21.3585,55.7679,
99,Isabela,PH,84.25,6.7085,121.9711,
100,Cabo San Lucas,MX,99.52,22.8909,-109.9124,
101,Dryden,CA,69.37,49.7833,-92.7503,
102,Bengkulu,ID,74.23,-3.8004,102.2655,
103,Arlit,NE,91.35,18.7369,7.3853,
104,Ruse,BG,62.35,43.8564,25.9708,
105,Avera,US,77.05,33.194,-82.5271,
106,Namatanai,PG,82.51,-3.6667,152.4333,
107,Itaquyry,PY,62.82,-24.9333,-55.2167,
108,Normandin,CA,68.54,48.8333,-72.5321,
112,Acari,PE,66.58,-15.4311,-74.6158,
113,Praia Da Vitoria,PT,64.76,38.7333,-27.0667,
114,Dicabisagan,PH,83.39,17.0818,122.4157,
115,Tupik,RU,70.7,54.4253,119.9327,
119,Sioux Lookout,CA,68.7,50.1001,-91.917,
121,Lichuan,CN,70.12,30.3,108.85,
122,Dubrovnik,HR,69.44,42.6481,18.0922,
124,Hithadhoo,MV,82.89,-0.6,73.0833,
125,Tura,IN,72.48,25.5198,90.2201,
126,Komsomolskiy,UZ,77.72,40.4272,71.7189,
127,Mount Pleasant,US,79.0,32.7941,-79.8626,
130,Kakamigahara,JP,76.24,35.4167,136.8667,
131,Cidreira,BR,63.28,-30.1811,-50.2056,
133,Maxixe,MZ,66.24,-23.8597,35.3472,
136,Basoko,CD,72.05,1.2391,23.616,
138,Pocatello,US,81.48,42.8713,-112.4455,
139,Pisco,PE,63.01,-13.7,-76.2167,
140,Ponta Do Sol,PT,66.83,32.6667,-17.1,
142,Kuching,MY,73.62,1.55,110.3333,
143,Beipiao,CN,72.88,41.7919,120.7792,
145,Catamarca,AR,60.49,-28.4696,-65.7852,
146,Kodiak,US,65.71,57.79,-152.4072,
147,Westport,US,87.03,41.1415,-73.3579,
148,Jharsuguda,IN,85.87,21.85,84.0333,
150,Hit,IQ,81.41,33.6416,42.8251,
151,Port Blair,IN,83.88,11.6667,92.75,
154,Airai,TL,65.16,-8.9266,125.4092,
156,Touros,BR,76.1,-5.1989,-35.4608,
157,Bambous Virieux,MU,72.21,-20.3428,57.7575,
160,Rongcheng,CN,76.6,30.634,117.8517,
161,Broome,US,82.78,42.2506,-75.833,
162,Lantana,US,83.05,26.5867,-80.052,
164,Grants,US,89.83,35.1473,-107.8514,
165,Kahului,US,82.98,20.8947,-156.47,
166,Aquiraz,BR,81.18,-3.9014,-38.3911,
170,Satun,TH,77.0,6.8333,100.0,
