City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-06-07 00:10:55,-34.5322,20.0403,56.28,36,5,7.34
1,Labuhan,ID,2021-06-07 00:03:23,-6.8844,112.2051,79.11,81,19,7.38
2,Saldanha,ZA,2021-06-07 00:10:56,-33.0117,17.9442,68.02,37,2,27.27
3,Henties Bay,NA,2021-06-07 00:10:57,-22.116,14.2845,67.86,47,0,7.81
4,Punta Arenas,CL,2021-06-07 00:08:35,-53.15,-70.9167,39.31,81,0,10.25
5,Nikolskoye,RU,2021-06-07 00:10:57,59.7035,30.7861,58.89,87,72,3.18
6,Busselton,AU,2021-06-07 00:10:58,-33.65,115.3333,47.08,78,0,7.25
7,Guerrero Negro,MX,2021-06-07 00:01:35,27.9769,-114.0611,67.53,64,74,16.55
8,Mataura,NZ,2021-06-07 00:10:58,-46.1927,168.8643,49.48,70,49,4.09
9,Cherskiy,RU,2021-06-07 00:02:21,68.75,161.3,69.48,34,89,19.53
10,Kologriv,RU,2021-06-07 00:10:59,58.8275,44.3178,55.92,76,24,1.88
11,Vieste,IT,2021-06-07 00:10:59,41.8825,16.175,67.23,81,55,4.23
12,Vaini,TO,2021-06-07 00:11:00,-21.2,-175.2,78.96,78,75,13.8
13,Saurimo,AO,2021-06-07 00:11:00,-9.6608,20.3916,59.56,59,8,5.79
14,Port Hardy,CA,2021-06-07 00:01:51,50.6996,-127.4199,53.55,69,100,5.61
15,Rikitea,PF,2021-06-07 00:11:01,-23.1203,-134.9692,76.78,83,99,14.9
16,Fonte Boa,BR,2021-06-07 00:07:08,-2.4959,-66.2662,75.7,90,82,2.62
17,Ojinaga,MX,2021-06-07 00:11:01,29.5667,-104.4167,103.15,8,1,11.5
18,Khatanga,RU,2021-06-07 00:02:15,71.9667,102.5,35.11,82,97,7.27
19,Severnyy-Kospashskiy,RU,2021-06-07 00:11:02,59.0925,57.8008,54.61,83,72,1.81
20,Timra,SE,2021-06-07 00:11:02,62.487,17.3257,56.91,88,90,3.44
21,Port Elizabeth,ZA,2021-06-07 00:11:03,-33.918,25.5701,61.02,29,0,9.57
22,Cape Town,ZA,2021-06-06 23:59:48,-33.9258,18.4232,68.41,34,0,14.23
23,Ushuaia,AR,2021-06-07 00:11:03,-54.8,-68.3,42.46,65,40,17.27
24,Vao,NC,2021-06-07 00:02:51,-22.6667,167.4833,70.11,64,94,15.43
25,Qaanaaq,GL,2021-06-07 00:11:04,77.484,-69.3632,39.69,76,64,5.91
26,Port Alfred,ZA,2021-06-07 00:11:04,-33.5906,26.891,63.39,35,0,8.7
27,Avarua,CK,2021-06-07 00:01:39,-21.2078,-159.775,77.05,61,75,3.44
28,Saint-Augustin,CA,2021-06-07 00:01:52,51.226,-58.6502,50.7,65,70,13.96
29,Kavaratti,IN,2021-06-07 00:11:05,10.5669,72.642,81.93,78,100,12.15
30,Puerto Ayora,EC,2021-06-07 00:11:05,-0.7393,-90.3518,73.54,92,38,1.01
31,Bunia,CD,2021-06-07 00:02:55,1.5667,30.25,62.33,90,84,2.75
32,Paamiut,GL,2021-06-07 00:07:15,61.994,-49.6678,38.28,97,100,2.33
33,Iqaluit,CA,2021-06-07 00:01:16,63.7506,-68.5145,32.7,86,37,5.99
34,Barrow,US,2021-06-07 00:09:00,71.2906,-156.7887,32.02,86,90,16.11
35,Constitucion,CL,2021-06-07 00:01:40,-35.3333,-72.4167,51.98,70,100,7.2
36,Hobart,AU,2021-06-07 00:10:15,-42.8794,147.3294,59.25,63,75,1.01
37,Albany,US,2021-06-07 00:06:20,42.6001,-73.9662,84.07,69,41,3.71
38,Tadine,NC,2021-06-07 00:11:06,-21.55,167.8833,72.86,59,91,11.65
