City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Poso,ID,2021-06-06 18:30:25,-1.3959,120.7524,76.64,86,79,4.5
1,Lebu,CL,2021-06-06 18:30:26,-37.6167,-73.65,51.76,69,100,1.95
2,Tura,IN,2021-06-06 18:30:26,25.5198,90.2201,73.29,97,67,6.91
3,Yuzhno-Sukhokumsk,RU,2021-06-06 18:30:26,44.6581,45.6436,70.09,47,100,8.63
4,Bambous Virieux,MU,2021-06-06 18:29:29,-20.3428,57.7575,75.45,78,20,9.82
5,Bomet,KE,2021-06-06 18:30:27,-0.7813,35.3416,56.52,82,85,7.25
6,Faanui,PF,2021-06-06 18:30:27,-16.4833,-151.75,80.74,74,18,10.92
7,Punta Arenas,CL,2021-06-06 18:30:28,-53.15,-70.9167,42.91,70,0,9.75
8,Zuwarah,LY,2021-06-06 18:30:28,32.9312,12.082,76.73,60,79,14.45
9,Ushuaia,AR,2021-06-06 18:30:29,-54.8,-68.3,38.86,81,90,0.0
10,Jamestown,US,2021-06-06 18:29:36,42.097,-79.2353,85.08,45,1,11.99
11,Deputatskiy,RU,2021-06-06 18:30:29,69.3,139.9,36.77,76,3,3.2
12,Laguna,US,2021-06-06 18:30:30,38.421,-121.4238,88.21,42,1,3.0
13,Atuona,PF,2021-06-06 18:27:59,-9.8,-139.0333,79.92,63,64,9.66
14,Chingirlau,KZ,2021-06-06 18:30:30,51.095,54.0814,63.41,48,64,10.45
15,Vaini,TO,2021-06-06 18:30:30,-21.2,-175.2,71.76,88,40,6.91
16,Maun,BW,2021-06-06 18:29:16,-19.9833,23.4167,62.56,45,0,5.75
17,Kerema,PG,2021-06-06 18:30:31,-7.9631,145.7785,76.53,92,100,5.97
18,Talnakh,RU,2021-06-06 18:30:31,69.4865,88.3972,29.59,99,100,3.04
19,Camopi,GF,2021-06-06 18:30:32,3.1655,-52.3158,78.33,89,99,3.11
20,Jalu,LY,2021-06-06 18:30:32,29.0331,21.5482,82.2,19,0,7.02
21,Ribeira Grande,PT,2021-06-06 18:30:32,38.5167,-28.7,70.2,78,40,13.8
22,Nova Olimpia,BR,2021-06-06 18:30:33,-14.7972,-57.2881,94.89,26,100,3.91
23,Rikitea,PF,2021-06-06 18:30:33,-23.1203,-134.9692,76.71,84,100,15.05
24,Airai,TL,2021-06-06 18:30:34,-8.9266,125.4092,55.2,84,73,2.86
25,Makakilo City,US,2021-06-06 18:30:34,21.3469,-158.0858,78.8,61,1,17.76
26,Mumford,GH,2021-06-06 18:30:34,5.2618,-0.759,81.01,81,48,12.91
27,Upington,ZA,2021-06-06 18:30:37,-28.4478,21.2561,55.4,41,0,5.75
28,Klaksvik,FO,2021-06-06 18:30:37,62.2266,-6.589,48.2,100,90,10.36
29,Severo-Kurilsk,RU,2021-06-06 18:29:09,50.6789,156.125,40.66,95,94,8.81
30,Popondetta,PG,2021-06-06 18:30:37,-8.7537,148.2534,71.53,97,86,2.89
31,Puerto Ayora,EC,2021-06-06 18:30:38,-0.7393,-90.3518,82.36,87,35,5.01
32,Upernavik,GL,2021-06-06 18:29:39,72.7868,-56.1549,37.26,83,15,3.31
33,Kapaa,US,2021-06-06 18:30:38,22.0752,-159.319,80.58,76,75,4.0
34,Casas Grandes,MX,2021-06-06 18:30:39,30.3667,-107.95,89.92,11,7,21.92
